time,node,aoi
279,[3],[0]
555,[4],[0]
826,[2],[0]
1097,[1],[0]
1368,[2],[0]
1639,[5 8],[0 0]
1913,[6],[0]
2185,[7],[0]
2456,[1 9],[0 0]
2730,[0 5],[   0 1091]
3002,[8],[0]
3275,[2 9],[  0 819]
3546,[8],[0]
3818,[3],[0]
4091,[4],[0]
4362,[5],[0]
4633,[1],[0]
4904,[2],[0]
5176,[8],[0]
5447,[3],[0]
5721,[2 8],[0 0]
5992,[3 4],[0 0]
6263,[7],[0]
6534,[6],[0]
6805,[0],[0]
7077,[6],[0]
7349,[0],[0]
7623,[7],[0]
7895,[0],[0]
8166,[7],[0]
8439,[0],[0]
8711,[1 5],[0 0]
8982,[7],[0]
9253,[4 6],[3261    0]
9529,[0],[0]
9801,[7],[0]
10078,[3],[0]
10354,[6],[0]
10631,[9],[0]
10903,[0 5 9],[   0 2192    0]
11177,[7],[0]
11450,[2],[0]
11722,[2],[0]
11993,[6],[0]
12264,[4],[0]
12538,[4],[0]
12809,[3],[0]
13084,[2],[0]
13355,[3],[0]
13627,[0],[0]
13900,[2],[0]
14171,[6],[0]
14443,[2],[0]
14714,[7],[0]
14990,[7],[0]
15265,[3 4],[0 0]
15536,[8],[0]
15808,[0],[0]
16082,[6],[0]
16360,[2],[0]
16631,[0 2 6],[0 0 0]
16902,[7],[0]
17181,[1],[0]
17455,[8],[0]
17727,[8],[0]
18002,[8],[0]
18276,[0],[0]
18550,[8],[0]
18823,[7],[0]
19094,[6],[0]
19370,[6],[0]
19641,[1 6],[0 0]
19920,[0],[0]
20191,[8],[0]
20465,[7],[0]
20744,[8],[0]
21017,[7],[0]
21289,[0],[0]
21563,[3],[0]
21843,[8],[0]
22114,[8],[0]
22387,[0],[0]
22658,[0],[0]
22930,[7],[0]
23202,[0],[0]
23474,[0],[0]
23748,[3],[0]
24023,[7],[0]
24293,[7],[0]
24569,[3 8],[0 0]
24852,[0],[0]
25122,[0],[0]
25399,[7],[0]
25686,[0],[0]
25959,[0],[0]
26230,[0],[0]
26502,[0],[0]
26776,[0],[0]
27047,[7],[0]
27331,[7 9],[    0 16428]
27607,[0],[0]
27893,[4],[0]
28167,[4],[0]
28439,[3],[0]
28713,[0],[0]
28991,[0],[0]
29262,[1],[0]
29534,[1],[0]
29809,[0],[0]
30083,[4],[0]
30357,[3],[0]
30630,[4 7],[   0 3299]
30901,[1],[0]
31175,[3],[0]
31454,[0 1],[0 0]
31734,[2],[0]
32008,[3],[0]
32282,[2],[0]
32575,[3],[0]
32847,[2],[0]
33122,[2],[0]
33394,[6],[0]
33678,[8],[0]
33949,[3],[0]
34219,[3],[0]
34493,[3 5],[    0 25782]
34764,[2],[0]
35036,[6],[0]
35309,[6],[0]
35579,[6],[0]
35854,[7],[0]
36125,[6],[0]
36396,[1],[0]
36670,[8],[0]
36943,[1],[0]
37218,[8],[0]
37493,[2],[0]
37767,[6],[0]
38040,[7],[0]
38313,[2],[0]
38586,[1 8],[0 0]
38858,[2],[0]
39143,[6],[0]
39414,[7],[0]
39697,[2],[0]
39978,[6],[0]
40251,[7],[0]
40534,[2],[0]
40813,[7],[0]
41084,[6],[0]
41358,[6],[0]
41636,[2],[0]
41919,[7],[0]
42193,[6],[0]
42469,[4],[0]
42740,[7],[0]
43010,[7],[0]
43281,[2],[0]
43562,[2],[0]
43836,[6],[0]
44108,[7],[0]
44381,[7],[0]
44653,[2],[0]
44926,[4],[0]
45198,[2],[0]
45471,[7],[0]
45743,[2 6],[0 0]
46015,[7],[0]
46293,[4],[0]
46567,[0],[0]
46846,[2],[0]
47121,[2 4 7],[0 0 0]
47394,[0],[0]
47668,[7],[0]
47941,[7],[0]
48216,[7],[0]
48488,[7],[0]
48761,[7],[0]
49031,[7],[0]
49312,[0],[0]
49590,[7],[0]
49866,[0 7],[0 0]
50148,[9],[0]
50430,[9],[0]
50714,[9],[0]
51003,[9],[0]
51277,[6],[0]
51561,[6],[0]
51834,[9],[0]
52121,[9],[0]
52392,[2],[0]
52666,[6],[0]
52937,[6],[0]
53209,[2],[0]
53481,[9],[0]
53766,[6],[0]
54036,[6],[0]
54310,[9],[0]
54590,[2],[0]
54863,[8],[0]
55140,[9],[0]
55413,[6],[0]
55693,[8],[0]
55968,[2],[0]
56240,[2 6],[0 0]
56513,[7],[0]
56789,[7],[0]
57060,[9],[0]
57330,[9],[0]
57603,[8],[0]
57891,[0],[0]
58163,[3],[0]
58434,[7 8],[0 0]
58711,[9],[0]
58983,[0],[0]
59254,[3],[0]
59534,[3],[0]
59810,[9],[0]
60088,[0 3],[0 0]
60367,[9],[0]
60642,[5],[0]
60922,[5],[0]
61204,[9],[0]
61481,[5],[0]
61758,[5],[0]
62045,[9],[0]
62316,[5],[0]
62593,[9],[0]
62877,[9],[0]
63149,[5],[0]
63438,[5],[0]
63709,[9],[0]
63996,[9],[0]
64274,[9],[0]
64545,[5],[0]
64827,[6 9],[8587    0]
65115,[5],[0]
65396,[6],[0]
65669,[5],[0]
65939,[5],[0]
66211,[6],[0]
66481,[6],[0]
66754,[9],[0]
67029,[6],[0]
67300,[5],[0]
67578,[6],[0]
67852,[6],[0]
68126,[5],[0]
68403,[9],[0]
68677,[6],[0]
68953,[9],[0]
69225,[5],[0]
69510,[6],[0]
69782,[9],[0]
70059,[5],[0]
70330,[6],[0]
70609,[6],[0]
70887,[9],[0]
71164,[5],[0]
71442,[9],[0]
71714,[6],[0]
71996,[0],[0]
72267,[5],[0]
72538,[6],[0]
72809,[5],[0]
73082,[9],[0]
73360,[9],[0]
73632,[0],[0]
73906,[5],[0]
74181,[5],[0]
74456,[6],[0]
74728,[0],[0]
75006,[0],[0]
75277,[6],[0]
75548,[9],[0]
75821,[5],[0]
76115,[5],[0]
76386,[6 9],[0 0]
76657,[0],[0]
76929,[0],[0]
77225,[0],[0]
77496,[5],[0]
77770,[0],[0]
78043,[6],[0]
78315,[6],[0]
78595,[0],[0]
78873,[0],[0]
79147,[5],[0]
79423,[6],[0]
79706,[5],[0]
79979,[0],[0]
80251,[6],[0]
80537,[5],[0]
80817,[6],[0]
81089,[6],[0]
81360,[0],[0]
81635,[5],[0]
81911,[6],[0]
82193,[5],[0]
82464,[0],[0]
82742,[0],[0]
83018,[6],[0]
83299,[0],[0]
83570,[0],[0]
83844,[0 5],[0 0]
84118,[1 7],[45532 25684]
84395,[6],[0]
84669,[6],[0]
84958,[4],[0]
85229,[4],[0]
85502,[6],[0]
85777,[6],[0]
