time,node,aoi,result
279,10,9,succ
576,5,306,succ
873,10,603,succ
1746,3,1476,succ
2322,3,2052,succ
2889,2,1773,succ
3555,3,3285,succ
3825,3,3555,succ
4158,10,2934,succ
4482,2,4212,succ
4797,2,4527,succ
5076,9,2934,succ
5373,10,5103,succ
5652,3,5382,succ
6237,3,5967,succ
7083,7,1773,succ
7407,3,7137,succ
7695,9,6246,succ
8001,5,2340,succ
8280,7,8010,succ
8550,7,8280,succ
8847,2,8577,succ
9171,7,8901,succ
9513,9,9243,succ
9801,3,9531,succ
10107,10,5688,succ
10665,9,10395,succ
10944,7,10674,succ
11223,3,10953,succ
11520,8,882,succ
12132,7,11529,succ
12456,5,10116,succ
12735,10,12465,succ
13014,9,12744,succ
13329,9,13059,succ
13617,5,13347,succ
13905,8,13635,succ
14202,3,13932,succ
14490,8,14220,succ
14769,7,14499,succ
15372,7,15102,succ
15669,7,15399,succ
15948,8,15678,succ
16227,10,14823,succ
16848,9,16245,succ
17127,8,16857,succ
17433,10,17163,succ
17991,3,17721,succ
18270,3,18000,succ
18936,10,18666,succ
19233,6,882,succ
19512,3,18297,succ
19818,9,19548,succ
20097,10,19827,succ
20421,3,20151,succ
20700,5,16245,succ
20979,3,20709,succ
21267,6,20997,succ
21573,9,21303,succ
21924,9,21654,succ
22203,6,21933,succ
22500,5,22230,succ
23076,7,18297,succ
23355,5,23085,succ
23634,3,23364,succ
23931,3,23661,succ
24228,3,23958,succ
24534,6,24264,succ
25155,9,24552,succ
25776,7,25191,succ
26118,2,10116,succ
26406,7,26136,succ
26703,6,26433,succ
27270,2,27000,succ
27540,2,27270,succ
27828,6,27558,succ
28116,4,1170,succ
28422,10,22527,succ
28719,5,25191,succ
28998,7,28728,succ
29637,6,29367,succ
30222,2,29655,succ
30528,1,1170,succ
31113,1,30843,succ
31401,6,31131,succ
31716,5,29016,succ
32022,6,31752,succ
32310,5,32040,succ
32598,9,26712,succ
32868,9,32598,succ
33156,10,29655,succ
33444,2,33174,succ
34002,1,33732,succ
34299,9,34029,succ
34911,1,34641,succ
35226,10,34956,succ
35532,5,35262,succ
35820,9,35550,succ
36099,1,35829,succ
36378,2,34344,succ
36657,2,36387,succ
36927,2,36657,succ
37215,3,24552,succ
