,reward
0,-180.59420000000014
1,-23.334500000000062
2,-51.7445500000002
3,-12.562430000000068
4,-52.689940000000064
5,-59.28648000000013
6,-12.55208000000005
7,-35.36418000000018
8,-45.658850000000214
9,-58.6172700000002
10,-9.401110000000063
11,-21.589860000000062
12,-51.85232000000006
13,-74.52104000000011
14,-82.36146000000039
15,-18.720320000000076
16,-32.922800000000095
17,-16.528860000000005
18,-11.290030000000048
19,-9.321340000000035
20,-5.787680000000032
21,-16.693210000000008
22,-7.8945000000000505
23,-17.201510000000084
24,-4.229800000000014
25,-5.264530000000027
26,-51.72659000000015
27,-41.476320000000115
28,-6.899180000000053
29,-8.524260000000035
30,-25.695500000000052
31,-38.78047000000001
32,-22.96651000000007
33,-49.77213000000007
34,-6.63272000000003
35,-5.032260000000028
36,-11.669910000000002
37,-4.238590000000015
38,-3.7170400000000137
39,-6.132050000000026
40,-5.562920000000024
41,-3.8994200000000223
42,-5.855670000000031
43,-6.965120000000041
44,-2.9331700000000227
45,-2.6063000000000067
46,-23.601520000000065
47,-19.089610000000068
48,-4.254090000000023
49,-1.8181800000000077
50,-2.1619400000000164
51,-38.24998000000013
52,-4.460460000000017
53,-9.59748
54,-29.825130000000094
55,-112.97151000000022
56,-47.077060000000124
57,-6.437640000000028
58,-14.113990000000115
59,-18.75683000000006
60,-2.658050000000009
61,-25.476510000000086
62,-37.76396000000004
63,-2.2248400000000026
64,-2.485480000000013
65,-2.1251999999999995
66,-2.4892800000000017
67,-2.762960000000011
68,-8.217860000000032
69,-25.475240000000067
70,-1.9543000000000108
71,-2.637340000000004
72,-5.062970000000028
73,-2.766280000000011
74,-8.122610000000035
75,-13.060700000000027
76,-1.63451
77,-13.370210000000034
78,-7.400480000000041
79,-3.5990700000000273
80,-15.180870000000072
81,-4.498140000000025
82,-8.904820000000036
83,-4.200800000000023
84,-8.159690000000042
85,-7.714750000000045
86,-3.4904100000000247
87,-2.2915600000000116
88,-20.235340000000093
89,-8.072350000000046
90,-2.9718000000000058
91,-3.99140000000002
92,-4.053370000000028
93,-4.9662200000000185
94,-4.702600000000023
95,-3.1492500000000088
96,-10.716410000000026
97,-10.022150000000046
98,-1.6343599999999996
99,-112.64674000000035
100,-2.772000000000003
101,-4.476800000000015
102,-19.364340000000013
103,-38.91952000000008
104,-17.399400000000057
105,-17.6329400000001
106,-2.7412000000000027
107,-4.9745500000000185
108,-9.432420000000057
109,-7.2325200000000285
110,-2.1868
111,-5.815930000000021
112,-7.251170000000038
113,-2.2936000000000085
114,-15.53891000000007
115,-60.447610000000175
116,-12.72395000000003
117,-19.534480000000077
118,-3.638710000000018
119,-2.1584100000000004
120,-11.639680000000045
121,-1.8262200000000046
122,-18.772980000000082
123,-4.653430000000017
124,-23.291430000000062
125,-9.172640000000026
126,-1.4167999999999998
127,-2.3870800000000076
128,-5.28622000000002
129,-18.589910000000064
130,-2.565100000000008
131,-17.728590000000104
132,-16.763310000000036
133,-2.0943999999999994
134,-30.691040000000076
135,-3.4230400000000203
136,-2.3265900000000044
137,-6.376610000000045
138,-40.473320000000136
139,-3.326400000000006
140,-38.555800000000104
141,-3.4100000000000086
142,-6.10238000000003
143,-2.8336000000000032
144,-4.046000000000015
145,-3.118610000000016
146,-9.036100000000046
147,-3.4317500000000107
148,-2.556400000000002
149,-2.7461600000000077
150,-4.218550000000025
151,-8.465710000000037
152,-4.646340000000038
153,-6.55409000000004
154,-2.72837000000001
155,-10.157350000000037
156,-2.241280000000003
157,-12.532870000000056
158,-25.521060000000052
159,-2.6124000000000063
160,-29.09941000000007
161,-1.8550399999999998
162,-2.545900000000006
163,-2.433200000000001
164,-6.569480000000025
165,-13.838870000000036
166,-14.946950000000069
167,-19.272410000000082
168,-7.429420000000026
169,-4.574740000000039
170,-75.58651000000012
171,-8.218290000000033
172,-46.99610000000008
173,-60.26540000000015
174,-3.329200000000012
175,-23.13749000000007
176,-12.157530000000023
177,-3.7866400000000198
178,-22.359110000000015
179,-15.75897000000006
180,-14.095460000000054
181,-7.354250000000043
182,-14.594710000000056
183,-88.60139000000011
184,-109.32291000000028
185,-85.18530000000014
186,-5.214520000000038
187,-10.929290000000051
188,-2.4948000000000015
189,-12.646340000000052
190,-3.0200300000000113
191,-3.4049600000000178
192,-10.929160000000042
193,-2.9799200000000217
194,-26.04709000000008
195,-2.235890000000005
196,-3.3105900000000124
197,-21.23706000000008
198,-7.448640000000022
199,-4.080860000000016
200,-7.888680000000058
201,-5.92048000000005
202,-1.8513600000000014
203,-11.227240000000025
204,-17.1947500000001
205,-8.727860000000028
206,-5.121370000000031
207,-3.1532000000000195
208,-2.8336000000000032
209,-3.3350600000000123
210,-5.761250000000017
211,-3.9363200000000145
212,-20.34873000000009
213,-3.7953300000000167
214,-5.920250000000018
215,-5.506100000000032
216,-2.7757200000000073
217,-16.742250000000062
218,-2.5652200000000076
219,-2.1207400000000063
220,-40.393730000000076
221,-4.209740000000025
222,-3.8924400000000285
223,-2.6108400000000125
224,-4.2517300000000136
225,-2.7120600000000032
226,-62.28235000000008
227,-5.340210000000022
228,-3.572800000000007
229,-6.0787200000000325
230,-4.058150000000024
231,-24.924320000000062
232,-3.7008700000000267
233,-1.9467700000000023
234,-5.240920000000027
235,-1.5399999999999996
236,-1.5399999999999996
237,-5.288860000000043
238,-1.8228000000000024
239,-2.260210000000016
240,-1.9510500000000026
241,-3.1269200000000152
242,-1.878799999999999
243,-2.118960000000002
244,-1.786399999999999
245,-7.51155000000003
246,-10.139470000000042
247,-44.04702000000008
248,-1.4480000000000004
249,-4.937610000000017
250,-2.772000000000003
251,-1.6306800000000026
252,-2.5018400000000116
253,-2.371600000000001
254,-4.60340000000003
255,-1.7346000000000086
256,-1.7862300000000024
257,-19.22683000000008
258,-5.825680000000037
259,-3.71543000000002
260,-7.314080000000031
261,-36.76363000000012
262,-3.32396000000002
263,-9.789490000000068
264,-1.9711999999999987
265,-15.437450000000023
266,-3.697900000000012
267,-3.7777000000000154
268,-3.210610000000019
269,-2.6894700000000116
270,-3.237290000000018
271,-3.315700000000019
272,-5.554390000000044
273,-27.80841000000011
274,-2.2484
275,-4.288240000000028
276,-5.427640000000027
277,-1.9246600000000007
278,-2.1256500000000096
279,-1.786399999999999
280,-77.58852000000003
281,-7.422640000000035
282,-44.054680000000104
283,-13.372480000000051
284,-25.839180000000084
285,-2.433200000000001
286,-3.302530000000011
287,-2.5463700000000147
288,-9.653550000000052
289,-3.144490000000018
290,-2.032799999999999
291,-3.4804000000000066
292,-2.402400000000001
293,-3.858780000000017
294,-4.893320000000022
295,-2.1559999999999997
296,-2.8952000000000035
297,-2.18394
298,-44.519210000000086
299,-42.31182000000009
300,-3.0884000000000054
301,-2.7392400000000037
302,-4.326600000000026
303,-6.738490000000022
304,-37.66633000000005
305,-3.6727700000000127
306,-17.56120000000001
307,-5.616830000000022
308,-5.277470000000024
309,-44.11770000000007
310,-6.693980000000029
311,-4.03923000000002
312,-30.454080000000143
313,-2.3006200000000043
314,-3.0492000000000044
315,-6.834990000000022
316,-2.802800000000003
317,-30.66312000000007
318,-1.9881700000000018
319,-2.1868
320,-3.074150000000013
321,-4.012660000000033
322,-17.470530000000036
323,-5.048440000000018
324,-52.6082900000001
325,-7.115860000000034
326,-4.217720000000021
327,-3.7291800000000097
328,-4.623200000000019
329,-5.05783000000003
330,-2.4964500000000154
331,-2.5491300000000177
332,-45.944370000000106
333,-12.161000000000023
334,-2.433200000000001
335,-9.490520000000053
336,-2.4794300000000096
337,-9.21926000000003
338,-13.669280000000049
339,-7.568160000000036
340,-2.802800000000003
341,-2.0943999999999994
342,-4.3957000000000175
343,-2.402100000000004
344,-2.3733400000000104
345,-2.4280000000000026
346,-52.19711000000012
347,-12.11852000000006
348,-11.128400000000061
349,-17.309780000000075
350,-2.1243200000000013
351,-2.3391300000000035
352,-5.199760000000028
353,-1.6015999999999995
354,-17.197780000000062
355,-4.2694100000000255
356,-3.7967400000000193
357,-3.048400000000014
358,-3.1402600000000063
359,-8.235370000000042
360,-11.0944
361,-1.7799100000000017
362,-11.450470000000022
363,-2.6821600000000165
364,-2.70286000000001
365,-35.19604000000012
366,-16.151170000000064
367,-3.798060000000012
368,-6.914480000000029
369,-7.351410000000058
370,-2.53001000000001
371,-22.02563000000005
372,-16.149580000000064
373,-27.035350000000083
374,-13.366680000000033
375,-65.57716000000013
376,-43.20194000000005
377,-11.082150000000052
378,-5.407280000000039
379,-2.6056800000000058
380,-4.316480000000025
381,-3.7820200000000224
382,-16.390860000000067
383,-20.003850000000046
384,-3.6344000000000074
385,-6.309200000000029
386,-4.681200000000028
387,-7.196060000000032
388,-3.6493900000000177
389,-37.238460000000096
390,-3.6118000000000254
391,-2.6488000000000023
392,-17.753370000000057
