,reward
0,-322.28290000000055
1,-51.01380000000015
2,-51.34110000000024
3,-51.659000000000226
4,-101.78340000000037
5,-98.71370000000033
6,-110.40400000000037
7,-94.10210000000053
8,-39.700100000000056
9,-32.16940000000015
10,-75.06840000000015
11,-29.084600000000133
12,-65.29480000000022
13,-17.263600000000082
14,-14.708100000000048
15,-10.276300000000063
16,-12.796700000000088
17,-49.47330000000022
18,-15.75419999999998
19,-5.053200000000035
20,-4.856500000000032
21,-3.9851000000000143
22,-2.4720000000000093
23,-5.049900000000037
24,-15.960900000000063
25,-3.2217000000000273
26,-3.84330000000002
27,-2.0080000000000044
28,-2.479900000000005
29,-3.198400000000031
30,-2.864800000000031
31,-9.21010000000005
32,-4.859400000000031
33,-2.6993000000000213
34,-13.281300000000062
35,-2.480800000000018
36,-2.0092000000000065
37,-33.36400000000012
38,-4.983000000000026
39,-6.100200000000048
40,-5.461300000000037
41,-4.481600000000041
42,-3.356900000000023
43,-6.448200000000039
44,-4.687200000000038
45,-7.2372000000000485
46,-10.74770000000003
47,-1.725200000000006
48,-3.1553000000000333
49,-4.649700000000032
50,-5.9499000000000555
51,-8.525900000000043
52,-3.628500000000039
53,-2.1583000000000294
54,-10.869200000000054
55,-3.50780000000003
56,-20.558800000000105
57,-16.343400000000088
58,-9.246800000000045
59,-6.048400000000054
60,-3.061000000000031
61,-2.635000000000029
62,-2.4593000000000416
63,-11.003300000000038
64,-1.8303000000000134
65,-3.6205000000000376
66,-3.7941000000000358
67,-3.2071000000000436
68,-6.092300000000049
69,-2.4843000000000264
70,-6.235900000000065
71,-2.0564000000000187
72,-3.9033000000000175
73,-6.012600000000045
74,-23.175100000000114
75,-8.409000000000045
76,-3.9639000000000473
77,-4.225200000000038
78,-1.7944000000000195
79,-8.142800000000067
80,-2.8774000000000144
81,-11.734200000000067
82,-7.301800000000063
83,-4.865200000000037
84,-2.3280000000000105
85,-4.989100000000037
86,-24.03770000000009
87,-2.095900000000007
88,-5.484500000000038
89,-4.395500000000038
90,-6.566800000000033
91,-2.5863000000000254
92,-1.8916000000000157
93,-13.497100000000069
94,-14.054700000000057
95,-45.12550000000016
96,-5.942300000000079
97,-2.304800000000015
98,-10.628800000000089
99,-2.7213000000000234
100,-4.918300000000049
101,-2.79290000000001
102,-1.7555999999999992
103,-3.9439000000000517
104,-3.0184000000000375
105,-13.445500000000079
106,-1.3254000000000077
107,-9.864900000000086
108,-3.1834000000000353
109,-2.412500000000013
110,-4.56790000000005
111,-17.64070000000011
112,-24.17080000000012
113,-3.4000000000000252
114,-7.197400000000019
115,-8.675200000000048
116,-2.0186000000000255
117,-7.151900000000026
118,-7.045300000000033
119,-9.33590000000002
120,-14.085900000000068
121,-3.035800000000015
122,-5.0779000000000405
123,-4.078200000000027
124,-11.815600000000087
125,-2.341000000000017
126,-2.9619000000000155
127,-2.7411000000000105
128,-5.975700000000033
129,-10.397000000000057
130,-5.983000000000053
131,-4.744000000000016
132,-2.860500000000019
133,-6.894100000000039
134,-1.9591000000000098
135,-5.7999000000000445
136,-2.966000000000022
137,-6.378400000000051
138,-5.539700000000046
139,-3.131600000000034
140,-2.152500000000021
141,-1.7078000000000002
142,-4.539100000000027
143,-2.122800000000019
144,-6.263600000000047
145,-2.966300000000024
146,-5.307300000000038
147,-2.585200000000008
148,-19.297700000000024
149,-3.7296000000000364
150,-4.382600000000054
151,-2.449900000000014
152,-10.663600000000054
153,-3.00770000000001
154,-5.791100000000042
155,-4.552100000000031
156,-4.02220000000004
157,-4.634800000000031
158,-1.4237000000000037
159,-1.541300000000009
160,-3.7275000000000356
161,-4.395300000000037
162,-2.2547000000000077
163,-16.013200000000143
164,-11.159800000000056
165,-2.3806000000000176
166,-2.032799999999999
167,-3.4532000000000336
168,-2.311100000000021
169,-5.934500000000079
170,-4.388500000000038
171,-2.8044000000000198
172,-4.1245000000000385
173,-4.270400000000031
174,-1.5568000000000082
175,-2.4894000000000283
176,-13.273400000000086
177,-10.690100000000022
178,-5.931400000000025
179,-5.323400000000033
180,-6.970900000000041
181,-9.04590000000005
182,-15.374600000000045
183,-1.8503000000000158
184,-5.361200000000063
185,-4.082800000000046
186,-1.2903000000000056
187,-4.285700000000045
188,-2.8682000000000367
189,-7.763200000000065
190,-5.76580000000005
191,-4.286500000000022
192,-1.7227000000000043
193,-2.163700000000031
194,-2.9567000000000356
195,-2.130300000000009
196,-6.796900000000053
197,-5.919800000000053
198,-3.7842000000000358
199,-3.6158000000000206
200,-1.9945000000000133
201,-4.453200000000042
202,-5.900400000000043
203,-1.5323000000000098
204,-4.893200000000032
205,-6.1172000000000555
206,-8.08920000000005
207,-9.730100000000016
208,-2.1162000000000143
209,-1.5160000000000275
210,-7.114200000000071
211,-5.813400000000049
212,-5.471200000000041
213,-13.403600000000083
214,-7.078300000000032
215,-35.329800000000155
216,-91.41620000000033
217,-27.259200000000096
218,-10.181000000000058
219,-8.575300000000034
220,-5.468300000000042
221,-3.090100000000031
222,-5.551600000000023
223,-1.5707999999999995
224,-2.441900000000012
225,-1.5093000000000003
226,-3.483500000000018
227,-6.560400000000027
228,-5.057200000000038
229,-14.78450000000006
230,-7.219500000000037
231,-2.600400000000015
232,-4.35080000000004
233,-2.5230000000000086
234,-2.2198000000000118
235,-5.075100000000048
236,-2.0260000000000082
237,-1.5102000000000024
238,-4.649600000000042
239,-2.642000000000019
240,-2.7104000000000252
241,-4.199100000000037
242,-6.69060000000006
243,-2.5993000000000333
244,-4.223100000000035
245,-1.3635000000000055
246,-3.3539000000000225
247,-3.057600000000031
248,-4.489600000000029
249,-4.683600000000035
250,-6.3080000000000425
251,-3.9165000000000285
252,-2.186700000000009
253,-12.578000000000097
254,-2.292100000000023
255,-1.6600000000000088
256,-3.6428000000000313
257,-3.681100000000031
258,-1.7275999999999996
259,-6.184300000000046
260,-9.636300000000082
261,-1.9621000000000128
262,-2.0103999999999997
263,-2.0323000000000078
264,-6.248700000000063
265,-4.515500000000027
266,-2.659600000000024
267,-6.04080000000004
268,-1.6332000000000104
269,-2.4225000000000163
270,-1.8360000000000034
271,-2.26110000000001
272,-2.7305000000000192
273,-1.7379000000000115
274,-2.799800000000012
275,-1.999800000000004
276,-3.8809000000000275
