time,node,aoi
0,[8],[0]
270,[0],[0]
540,[8],[0]
1890,[1 6],[0 0]
2160,[7],[0]
2430,[0 6],[  0 540]
2700,[8],[0]
2970,[0],[0]
3240,[0],[0]
3510,[3],[0]
3780,[8],[0]
4860,[0 9],[0 0]
5130,[2],[0]
5400,[4],[0]
6480,[3],[0]
8100,[9],[0]
8640,[3 9],[0 0]
8910,[0],[0]
9450,[1 9],[7560  810]
9720,[2],[0]
9990,[0],[0]
10260,[2 4],[0 0]
10530,[6],[0]
10800,[0],[0]
11070,[3 6],[2430    0]
11340,[1],[0]
11880,[2 6],[1620  810]
12150,[4],[0]
13230,[9],[0]
13500,[2],[0]
13770,[9],[0]
14040,[0 1 8 9],[0 0 0 0]
14580,[6],[0]
14850,[1],[0]
15120,[1 5 6],[0 0 0]
15390,[2],[0]
15660,[5],[0]
16200,[8],[0]
16740,[0 8],[2700    0]
17010,[4],[0]
17280,[7 9],[   0 3240]
17550,[0],[0]
17820,[6],[0]
18090,[6],[0]
18900,[0 9],[   0 4860]
19170,[0 5],[270   0]
19440,[2],[0]
19980,[3 9],[11340  5940]
20520,[0 2 5],[1620    0 1350]
21060,[4],[0]
21330,[3],[0]
21600,[1 5],[6480 2430]
22140,[3],[0]
22410,[9],[0]
22680,[0],[0]
22950,[3 5],[   0 3780]
23220,[5 8],[4050 6480]
23490,[0],[0]
23760,[3 4 7],[ 810    0 6480]
24840,[2 4],[4320 1080]
25110,[4 8 9],[1350 8370    0]
25380,[0 3],[   0 2430]
25650,[7],[0]
25920,[5],[0]
26460,[7],[0]
26730,[3 4 9],[3780 2970 1620]
27000,[2],[0]
27270,[0 3],[1890 4320]
28350,[2 5 7],[0 0 0]
28890,[1 2],[13770   540]
29430,[3],[0]
29700,[1],[0]
30240,[2],[0]
30510,[0],[0]
30780,[7],[0]
31050,[0],[0]
31320,[8],[0]
31590,[1],[0]
31860,[5],[0]
32130,[4 6],[8370    0]
33210,[1],[0]
33480,[3 6 9],[   0 1350 8370]
33750,[0],[0]
34020,[3],[0]
34290,[9],[0]
34560,[2 8 9],[0 0 0]
35100,[2 8],[540 540]
35370,[3 7],[0 0]
35640,[0 2 3],[   0 1080  270]
35910,[3 6],[ 540 3780]
36180,[1],[0]
36450,[2],[0]
36720,[3],[0]
36990,[0 5],[1350    0]
37260,[0],[0]
37800,[0 9],[   0 3240]
38070,[5],[0]
38880,[9],[0]
39420,[9],[0]
39690,[1 2],[0 0]
40230,[5],[0]
40500,[4],[0]
40770,[3],[0]
41040,[7],[0]
41310,[8],[0]
41580,[1],[0]
41850,[1 4 8],[0 0 0]
42120,[0],[0]
42930,[3],[0]
43200,[8],[0]
43470,[6 7],[11340     0]
44010,[9],[0]
44820,[2],[0]
45090,[1 5 9],[3240    0    0]
